,Place Name,Place ID,Latitude,Longitude,Ratings,Reviews,Vicinity,Price Level,Status,Temp Closed
0,Aventura,ChIJ1fh_fz6uPIgRz6sDQ5frrZY,42.2802798,-83.7464951,4.5,1206,"216 E Washington St, Ann Arbor",3,CLOSED_TEMPORARILY,TRUE
1,The Lunch Room,ChIJVVVV1hWuPIgRnnUCKv2f8xM,42.2845362,-83.7464788,4.7,723,"407 N 5th Ave, Ann Arbor",2,CLOSED_TEMPORARILY,TRUE
2,Taste Kitchen,ChIJkYCCcz-uPIgReS6g4YFAUJM,42.2795439,-83.7423241,4.7,292,"521 E Liberty St, Ann Arbor",3,OPERATIONAL,
3,Sava's,ChIJ0518hECuPIgRQOgqLkeI6fA,42.2828168,-83.7406236,4.5,1725,"216 N State St, Ann Arbor",2,OPERATIONAL,
4,Chela's Restaurant,ChIJmcIvmj6uPIgRWzfO5rd7xT8,42.2791921,-83.7459402,4.6,519,"307 S 5th Ave, Ann Arbor",1,CLOSED_TEMPORARILY,TRUE
5,Amadeus Restaurant,ChIJfSDQsz2uPIgRnJ1c1BFp_s0,42.280316,-83.747554,4.6,218,"122 E Washington St, Ann Arbor",2,OPERATIONAL,
6,Gandy Dancer,ChIJZbsiYBOuPIgRwBPyXagDZuw,42.2872135,-83.7416809,4.5,1425,"401 Depot St, Ann Arbor",3,OPERATIONAL,
7,Mani Osteria and Bar,ChIJZZG58j6uPIgR1ohn-NPf_Jw,42.279587,-83.7442246,4.5,1008,"341 E Liberty St, Ann Arbor",2,OPERATIONAL,
8,First Bite,ChIJH1a6pj2uPIgRaTad6b-Ixnc,42.2811097,-83.7488498,4.7,133,"108 S Main St, Ann Arbor",2,CLOSED_TEMPORARILY,TRUE
9,Detroit Street Filling Station,ChIJWbu34xWuPIgRXrErOhj9_e8,42.2834111,-83.7463361,4.7,572,"300 Detroit St, Ann Arbor",2,OPERATIONAL,
10,Vedge Cafe,ChIJkbjIgD2uPIgRGumfY3z4O7M,42.2825962,-83.74867,4.8,141,"205 N Main St, Ann Arbor",,OPERATIONAL,
11,NeoPapalis,ChIJA4cOLj-uPIgRXwsXcbwwjI8,42.2776846,-83.7429525,4.6,720,"500 E William St, Ann Arbor",1,OPERATIONAL,
12,Totoro,ChIJHyF-h0CuPIgRQr_r9MDv2jw,42.2797861,-83.7406528,4.5,704,"215 S State St, Ann Arbor",2,OPERATIONAL,
13,Spencer,ChIJ_x5GSDyuPIgR4-CP9CEstSI,42.2796723,-83.7478995,4.6,255,"113 E Liberty St, Ann Arbor",3,OPERATIONAL,
14,Pacific Rim By Kana,ChIJyXiqUDyuPIgRNElTGytOMGY,42.279711,-83.7493882,4.5,393,"114 W Liberty St, Ann Arbor",3,OPERATIONAL,
15,Kosmo's BopShop,ChIJy5-J6zyuPIgRS803GleZHq8,42.2792851,-83.7501356,4.8,220,"308 S Ashley St, Ann Arbor",1,OPERATIONAL,
16,Ruth's Chris Steak House,ChIJVcLrPzyuPIgRSiXhUxWFezM,42.2789961,-83.7477396,4.4,649,"314 S 4th Ave, Ann Arbor",4,OPERATIONAL,
17,Miss Kim,ChIJLaSH1hWuPIgRw6F8GUKBM6k,42.284582,-83.7464713,4.4,303,"415 N 5th Ave, Ann Arbor",3,OPERATIONAL,
18,Vinology Restaurant & Event Space,ChIJ05fgpD2uPIgR72hgsTgZEJM,42.2810246,-83.7487453,4.4,553,"110 S Main St, Ann Arbor",3,OPERATIONAL,
19,Northside Grill,ChIJr7XE4myuPIgRwh__WnkdOTY,42.289387,-83.739198,4.5,871,"1015 Broadway St, Ann Arbor",2,CLOSED_TEMPORARILY,TRUE
20,Black Pearl | Ann Arbor,ChIJK3b_WjyuPIgRYJeutjpr3Xo,42.2793786,-83.7487793,4.5,470,"302 S Main St, Ann Arbor",3,OPERATIONAL,
21,Logan Restaurant,ChIJB9veAD2uPIgR38CUpGnxrDo,42.2804165,-83.7494061,4.4,163,"115 W Washington St, Ann Arbor",2,CLOSED_TEMPORARILY,TRUE
22,KouZina Greek Street Food,ChIJEX4WYzyuPIgRo9NOhPBLDzo,42.2784836,-83.7489027,4.5,497,"332 S Main St, Ann Arbor",1,OPERATIONAL,
23,Jerusalem Garden,ChIJ2exgmz6uPIgRga_zDJ8qoXI,42.2792036,-83.745421,4.5,1065,"314 E Liberty St, Ann Arbor",1,CLOSED_TEMPORARILY,TRUE
24,Sadako Japanese Restaurant,ChIJjSLe70SuPIgRP1kmtqvDgQA,42.275189,-83.732448,4.4,332,"1321 S University Ave, Ann Arbor",2,OPERATIONAL,
25,Isalita,ChIJxakU8D6uPIgRDkVcXiJ1mA4,42.2795874,-83.7443945,4.4,673,"341 E Liberty St, Ann Arbor",2,OPERATIONAL,
26,The Jefferson Market,ChIJ2W9jUSSuPIgR8N6HkShQrTc,42.2758501,-83.7553346,4.7,185,"609 W Jefferson St, Ann Arbor",2,OPERATIONAL,
27,Slurping Turtle,ChIJu9W4fD-uPIgRKLcd_YjV04s,42.2792268,-83.7416453,4.5,1103,"608 E Liberty St, Ann Arbor",2,OPERATIONAL,
28,Frank's Restaurant,ChIJdY6vQz-uPIgRhZ0NSAAVr34,42.2782594,-83.742325,4.4,269,"334 Maynard St, Ann Arbor",1,OPERATIONAL,
29,Frita Batidos Ann Arbor,ChIJx8yeAT2uPIgRjemtDnqZt4U,42.2803524,-83.7494414,4.7,2954,"117 W Washington St, Ann Arbor",2,OPERATIONAL,
30,Mister Spots Ann Arbor,ChIJr2akG0iuPIgR3zamzDj8JAo,42.2716051,-83.7408923,4.6,375,"808 S State St, Ann Arbor",2,OPERATIONAL,
31,The West End Grill,ChIJj_vhWTyuPIgR5Fl64C0Wx2c,42.2797138,-83.7496265,4.4,92,"120 W Liberty St, Ann Arbor",4,CLOSED_TEMPORARILY,TRUE
32,Earthen Jar,ChIJRwd_mz6uPIgRgP6vCT_-ctw,42.2791024,-83.745884,4.5,247,"311 S 5th Ave, Ann Arbor",1,OPERATIONAL,
33,Café Zola,ChIJk7vkqz2uPIgR4_zqa2G5SBI,42.2806056,-83.7493361,4.1,724,"112 W Washington St, Ann Arbor",2,OPERATIONAL,
34,Kang's Korean Restaurant,ChIJW8mt6ESuPIgRAuc_6v_xtMk,42.2751895,-83.7322965,4.5,313,"1327 S University Ave, Ann Arbor",1,OPERATIONAL,
35,Angelo's,ChIJk-Bv82muPIgRh_TyrPY8gxM,42.2829833,-83.735475,4.5,967,"1100 Catherine St, Ann Arbor",2,OPERATIONAL,
36,Grange Kitchen & Bar,ChIJ3Vn9WTyuPIgRoB1PBreNsIo,42.2797456,-83.7495343,4.4,268,"118 W Liberty St, Ann Arbor",3,OPERATIONAL,
37,Blue LLama Jazz Club,ChIJAQDQXzyuPIgRG019M4T-_BQ,42.2790551,-83.7490053,4.8,208,"314 S Main St, Ann Arbor",,OPERATIONAL,
38,Bopjib,ChIJM7QaFvOvPIgRsp085aVQ4tg,42.2742332,-83.7343902,4.6,32,"621 Church St, Ann Arbor",,CLOSED_TEMPORARILY,TRUE
39,The Earle Restaurant,ChIJC_R0Az2uPIgRyVn5XMucwzA,42.280375,-83.7496083,4.5,544,"121 W Washington St, Ann Arbor",3,OPERATIONAL,
40,Le Dog = La Soup,ChIJSwZfYDyuPIgRs-M9EhTGEWg,42.279211,-83.748967,4.9,97,"306 South MAIN Street Suite #1-E, Ann Arbor",1,OPERATIONAL,
41,Pizza House,ChIJA3q9y0WuPIgRVA6XbahB8Oc,42.274307,-83.734832,4.2,1437,"618 Church St, Ann Arbor",2,OPERATIONAL,
42,Tomukun Korean BBQ,ChIJV4YnDD-uPIgRj9JFDo-9QuA,42.2795355,-83.7427432,4.5,716,"505 E Liberty St #100, Ann Arbor",2,OPERATIONAL,
43,Fleetwood Diner,ChIJk8dH7jyuPIgRbVvbyrxLWoo,42.2794571,-83.7500381,4.3,1141,"300 S Ashley St, Ann Arbor",1,OPERATIONAL,
44,Blue Nile Restaurant,ChIJqyrfeD6uPIgR75I7iacApHA,42.2805417,-83.7463056,4.3,571,"221 E Washington St, Ann Arbor",2,CLOSED_TEMPORARILY,TRUE
45,Jamaican Jerk Pit,ChIJTYG980CuPIgRWvX_1FIM7gA,42.2790921,-83.7397803,4.5,461,"314 S Thayer St, Ann Arbor",2,OPERATIONAL,
46,Siris Restaurant and Cigar Bar,ChIJ77Vnhz2uPIgRSb2XTo-Z9-0,42.2826491,-83.7487056,4.4,208,"207 N Main St, Ann Arbor",2,OPERATIONAL,
47,Pita Kabob Grill,ChIJlXLuVz-uPIgRyqNQN3TTRpQ,42.2779787,-83.7411264,4.2,285,"619 E William St, Ann Arbor",1,OPERATIONAL,
48,Shalimar Restaurant,ChIJOSatXDyuPIgRehsG8WwjCRw,42.2793005,-83.748473,4.2,700,"307 S Main St, Ann Arbor",2,OPERATIONAL,
49,The Pretzel Bell,ChIJT_ulVzyuPIgRK9LtADY2u2c,42.2797105,-83.7487849,4.1,883,"226 S Main St, Ann Arbor",2,CLOSED_TEMPORARILY,TRUE
50,aMa Bistro,ChIJsYGIhECuPIgRbrPAhdk62A8,42.2797597,-83.7406644,4.2,230,"215 S State St, Ann Arbor",,OPERATIONAL,
51,Heidelberg Restaurant,ChIJYRSAKBauPIgRmN5lm6S6KXU,42.2828971,-83.7486223,4,486,"215 N Main St, Ann Arbor",2,OPERATIONAL,
52,TAQ - Taqueria Restaurant & Bar,ChIJ68vWRTyuPIgRoncVfPW0j9c,42.279456,-83.748154,4.2,212,"106 E Liberty St, Ann Arbor",1,OPERATIONAL,
53,Miki Japanese Restaurant,ChIJHQkmOj2uPIgReQEigT4l9kU,42.281174,-83.751231,4.4,372,"106 S 1st St, Ann Arbor",2,OPERATIONAL,
54,No Thai!,ChIJ_YBk70SuPIgReOBonAvNao0,42.2747685,-83.7329186,4.1,464,"SOUTH UNIVERSITY 1300, S University Ave #3, Ann Arbor",1,OPERATIONAL,
55,Moon Cafe,ChIJ9yDDG0iuPIgRCcbn6K0K_4I,42.2714971,-83.7408536,4.6,69,"812 S State St, Ann Arbor",,OPERATIONAL,
56,Brown Jug Restaurant,ChIJgxFrSUSuPIgRNMHA3whSTiA,42.2747792,-83.734297,4.2,399,"1204 S University Ave, Ann Arbor",1,CLOSED_TEMPORARILY,TRUE
57,One Bowl Asian Cuisine,ChIJq_gjVESuPIgRuUJqLVPNMgE,42.2747703,-83.7334237,4.3,323,"Ann Arbor Plaza, 1220 S University Ave, Ann Arbor",2,OPERATIONAL,
58,Gratzi Ann Arbor,ChIJrx0mZDyuPIgRV2aOnc4PA7c,42.278711,-83.748856,4.2,629,"326 S Main St, Ann Arbor",3,OPERATIONAL,
59,Chow Asian Street Food,ChIJ-XvtrkivPIgRXnbtiCWRyrU,42.2797531,-83.750267,4.4,140,"208 W Liberty St, Ann Arbor",,CLOSED_TEMPORARILY,TRUE
